time,value
0,35.0
12,35.0
3,55.0
24,35.0
27,35.0
15,55.0
18,55.0
39,35.0
6,75.0
9,75.0
30,55.0
51,35.0
54,35.0
21,75.0
42,55.0
45,55.0
66,35.0
33,75.0
36,75.0
57,55.0
78,35.0
81,35.0
48,75.0
69,55.0
72,55.0
93,35.0
60,75.0
63,75.0
84,55.0
105,35.0
108,35.0
75,75.0
96,55.0
99,55.0
120,35.0
87,75.0
90,75.0
111,55.0
132,35.0
135,35.0
102,75.0
123,55.0
126,55.0
147,35.0
114,75.0
117,75.0
138,55.0
159,35.0
162,35.0
129,75.0
150,55.0
153,55.0
174,35.0
141,75.0
144,75.0
165,55.0
186,35.0
189,35.0
156,75.0
177,55.0
180,55.0
201,35.0
168,75.0
171,75.0
192,55.0
213,35.0
216,35.0
183,75.0
204,55.0
207,55.0
228,35.0
195,75.0
198,75.0
219,55.0
240,35.0
243,35.0
210,75.0
231,55.0
234,55.0
255,35.0
222,75.0
225,75.0
246,55.0
267,35.0
270,35.0
237,75.0
258,55.0
261,55.0
282,35.0
249,75.0
252,75.0
273,55.0
294,35.0
297,35.0
264,75.0
285,55.0
288,55.0
309,35.0
276,75.0
279,75.0
300,55.0
321,35.0
324,35.0
291,75.0
312,55.0
315,55.0
336,35.0
303,75.0
306,75.0
327,55.0
348,35.0
351,35.0
318,75.0
339,55.0
342,55.0
363,35.0
330,75.0
333,75.0
354,55.0
375,35.0
378,35.0
345,75.0
366,55.0
369,55.0
390,35.0
357,75.0
360,75.0
381,55.0
402,35.0
405,35.0
372,75.0
393,55.0
396,55.0
417,35.0
384,75.0
387,75.0
408,55.0
429,35.0
432,35.0
399,75.0
420,55.0
423,55.0
444,35.0
411,75.0
414,75.0
435,55.0
456,35.0
459,35.0
426,75.0
447,55.0
450,55.0
471,35.0
438,75.0
441,75.0
462,55.0
483,35.0
486,35.0
453,75.0
474,55.0
477,55.0
498,35.0
465,75.0
468,75.0
489,55.0
510,35.0
513,35.0
480,75.0
501,55.0
504,55.0
525,35.0
492,75.0
495,75.0
516,55.0
537,35.0
540,35.0
507,75.0
528,55.0
531,55.0
552,35.0
519,75.0
522,75.0
543,55.0
564,35.0
567,35.0
534,75.0
555,55.0
558,55.0
579,35.0
546,75.0
549,75.0
570,55.0
591,35.0
594,35.0
561,75.0
582,55.0
585,55.0
606,35.0
573,75.0
576,75.0
597,55.0
618,35.0
621,35.0
588,75.0
609,55.0
612,55.0
633,35.0
600,75.0
603,75.0
624,55.0
645,35.0
648,35.0
615,75.0
636,55.0
639,55.0
660,35.0
627,75.0
630,75.0
651,55.0
672,35.0
675,35.0
642,75.0
